MSZoning,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,SaleType,SaleCondition
FV,IR2,Lvl,FR2,Gtl,Somerst,Norm,TwnhsE,2Story,Gable,MetalSd,MetalSd,None,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,Detchd,Unf,TA,TA,Y,WD,Normal
RL,Reg,HLS,Inside,Gtl,StoneBr,Norm,1Fam,1Story,Gable,MetalSd,MetalSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,New,Partial
RL,IR1,Lvl,Corner,Gtl,NridgHt,Norm,TwnhsE,1Story,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,Av,ALQ,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,WD,Normal
RM,Reg,Lvl,Inside,Gtl,CollgCr,Norm,TwnhsE,1Story,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Gd,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,WD,Normal
RL,IR1,Lvl,Corner,Gtl,NoRidge,Norm,1Fam,2Story,Gable,HdBoard,HdBoard,BrkFace,Ex,TA,PConc,Ex,TA,Gd,GLQ,Unf,Ex,Y,SBrkr,Ex,Typ,Ex,Attchd,Fin,TA,TA,Y,WD,Normal
RL,IR1,Lvl,Inside,Mod,Timber,Norm,1Fam,2Story,Hip,MetalSd,MetalSd,BrkFace,Gd,TA,PConc,Gd,TA,Gd,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,WD,Normal
RL,Reg,Lvl,Corner,Sev,OldTown,Norm,1Fam,1Story,Gable,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,Ex,Y,SBrkr,TA,Typ,NA,Detchd,Unf,TA,TA,Y,WD,Abnorml
RM,Reg,Lvl,Corner,Gtl,BrkSide,Norm,1Fam,1.5Fin,Gable,Wd Sdng,Wd Sdng,None,TA,Fa,BrkTil,TA,TA,No,Unf,Unf,TA,Y,SBrkr,TA,Typ,NA,Detchd,Unf,TA,TA,Y,WD,Normal
RL,IR1,Lvl,Inside,Gtl,Timber,Norm,1Fam,1Story,Gable,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,Gd,Gd,No,GLQ,LwQ,Gd,Y,SBrkr,Gd,Typ,TA,Attchd,Unf,TA,TA,Y,WD,Normal
RM,Reg,Lvl,Inside,Gtl,BrkSide,Norm,1Fam,1Story,Gable,Wd Sdng,Wd Shng,None,TA,TA,CBlock,TA,TA,No,LwQ,Unf,Gd,Y,SBrkr,TA,Typ,NA,Detchd,Unf,TA,TA,Y,WD,Normal
RL,IR1,Lvl,Inside,Gtl,Edwards,Norm,1Fam,1Story,Gable,Wd Sdng,Wd Sdng,None,TA,TA,PConc,Ex,Gd,Mn,LwQ,ALQ,Fa,Y,FuseA,TA,Typ,NA,Detchd,Unf,TA,TA,Y,WD,Normal
RL,Reg,Lvl,Inside,Gtl,Sawyer,RRAe,1Fam,1Story,Gable,MetalSd,MetalSd,None,TA,Gd,CBlock,TA,TA,No,GLQ,BLQ,Ex,Y,SBrkr,TA,Typ,Gd,Detchd,Unf,TA,TA,Y,WD,Normal
FV,IR2,Lvl,Inside,Gtl,Somerst,Norm,TwnhsE,1Story,Gable,MetalSd,MetalSd,None,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,Attchd,RFn,TA,TA,Y,WD,Normal
RL,Reg,Lvl,Inside,Gtl,Timber,Norm,1Fam,1Story,Hip,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Ex,TA,Gd,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,Fin,TA,TA,Y,WD,Normal
RL,Reg,Lvl,Inside,Gtl,NWAmes,Norm,1Fam,1Story,Hip,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,Unf,Unf,TA,Y,SBrkr,TA,Typ,NA,Attchd,Unf,TA,TA,Y,COD,Normal
RL,IR1,Lvl,Inside,Gtl,StoneBr,Norm,1Fam,2Story,Hip,VinylSd,VinylSd,BrkFace,Ex,TA,PConc,Ex,Gd,No,Unf,Unf,Ex,Y,SBrkr,Ex,Typ,Gd,BuiltIn,Fin,TA,TA,Y,New,Partial
RM,Reg,Lvl,Inside,Gtl,OldTown,Feedr,2fmCon,2Story,Gable,Wd Sdng,Wd Sdng,None,TA,Gd,BrkTil,Gd,TA,No,Unf,Unf,Gd,Y,SBrkr,Gd,Typ,Po,Detchd,Unf,TA,TA,N,WD,Normal
RL,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,Attchd,RFn,TA,TA,Y,WD,Normal
RM,Reg,Lvl,Inside,Gtl,IDOTRR,Norm,2fmCon,2Story,Hip,VinylSd,Wd Shng,None,Fa,Fa,Slab,NA,NA,NA,NA,NA,Fa,N,SBrkr,Fa,Mod,NA,NA,NA,NA,NA,N,WD,Normal
RL,IR2,Low,CulDSac,Sev,ClearCr,Norm,1Fam,1Story,Gable,Plywood,Plywood,Stone,TA,TA,CBlock,Gd,TA,Gd,GLQ,Unf,TA,Y,SBrkr,Gd,Typ,TA,Attchd,Unf,TA,TA,Y,WD,Normal
RL,Reg,Lvl,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,Hip,MetalSd,MetalSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,Fin,TA,TA,Y,WD,Normal
RL,IR1,Lvl,Inside,Gtl,Gilbert,Norm,1Fam,2Story,Hip,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,Fin,TA,TA,Y,New,Partial
RL,IR1,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,Gable,HdBoard,HdBoard,BrkCmn,TA,TA,PConc,TA,TA,No,Unf,Unf,TA,Y,SBrkr,TA,Typ,NA,Attchd,Unf,TA,TA,Y,WD,Abnorml
RL,IR1,Lvl,Inside,Gtl,BrkSide,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,None,Gd,TA,CBlock,TA,TA,No,Unf,Unf,Gd,Y,SBrkr,TA,Maj2,NA,NA,NA,NA,NA,N,WD,Normal
C (all),Reg,HLS,Inside,Mod,IDOTRR,Norm,1Fam,1.5Fin,Gable,MetalSd,MetalSd,None,TA,TA,Stone,TA,TA,Mn,Unf,Unf,Gd,Y,SBrkr,TA,Typ,NA,Detchd,RFn,TA,TA,N,WD,Abnorml
RL,IR1,HLS,Inside,Gtl,StoneBr,Norm,TwnhsE,1Story,Gable,HdBoard,HdBoard,None,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,Gd,Y,SBrkr,Gd,Typ,Gd,Attchd,Fin,TA,TA,Y,WD,Normal
RL,Reg,Lvl,Inside,Gtl,BrkSide,RRAn,2fmCon,1Story,Gable,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,Av,ALQ,Unf,TA,N,SBrkr,TA,Typ,NA,Detchd,Unf,TA,TA,Y,WD,Normal
RL,IR1,Lvl,CulDSac,Gtl,Sawyer,RRAe,1Fam,2Story,Gable,HdBoard,Plywood,BrkFace,Gd,TA,CBlock,TA,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,Attchd,RFn,TA,TA,Y,WD,Normal
RL,Reg,Lvl,Inside,Gtl,NWAmes,Norm,1Fam,1Story,Hip,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,Gd,TA,No,Unf,Unf,TA,Y,SBrkr,TA,Typ,TA,Attchd,RFn,TA,TA,Y,WD,Normal
RM,Reg,Bnk,Inside,Gtl,OldTown,Norm,1Fam,2Story,Gable,Wd Sdng,VinylSd,None,TA,Gd,BrkTil,TA,TA,No,Unf,Unf,Ex,Y,SBrkr,TA,Typ,NA,Detchd,Unf,TA,TA,P,WD,Normal
RL,Reg,Lvl,Inside,Gtl,NWAmes,Norm,1Fam,1Story,Gable,HdBoard,HdBoard,None,TA,TA,CBlock,Gd,TA,No,BLQ,Unf,Gd,Y,SBrkr,Gd,Typ,Fa,Attchd,Unf,TA,TA,Y,WD,Normal
RL,Reg,Lvl,Inside,Gtl,NoRidge,Norm,1Fam,2Story,Hip,Wd Sdng,ImStucc,BrkFace,Gd,TA,PConc,Gd,TA,Gd,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,WD,Normal
RL,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,Gable,HdBoard,Plywood,None,TA,TA,CBlock,Gd,TA,Gd,ALQ,Unf,TA,Y,SBrkr,TA,Typ,Po,Attchd,Unf,TA,TA,Y,WD,Normal
RL,IR1,Low,CulDSac,Mod,StoneBr,Norm,1Fam,1Story,Gable,HdBoard,HdBoard,None,Gd,TA,PConc,Gd,TA,Gd,GLQ,Unf,TA,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,WD,Normal
RM,Reg,Lvl,Inside,Gtl,CollgCr,Norm,TwnhsE,1Story,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,Attchd,RFn,TA,TA,Y,WD,Normal
RL,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,Gable,MetalSd,MetalSd,None,TA,Gd,CBlock,TA,TA,No,ALQ,Unf,Ex,Y,SBrkr,TA,Typ,NA,Detchd,Unf,TA,TA,Y,WD,Normal
RL,Reg,Lvl,Inside,Gtl,Edwards,Norm,1Fam,1.5Fin,Gable,MetalSd,MetalSd,None,TA,TA,PConc,TA,TA,No,Unf,Unf,Ex,Y,SBrkr,TA,Typ,NA,Detchd,Unf,TA,TA,Y,WD,Normal
RL,IR1,Lvl,Inside,Gtl,Edwards,Norm,1Fam,1Story,Hip,CemntBd,CmentBd,Stone,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,Ex,Y,SBrkr,Ex,Typ,Gd,Attchd,Fin,TA,TA,Y,WD,Normal
RL,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,Gable,HdBoard,Plywood,None,TA,TA,CBlock,TA,TA,No,ALQ,BLQ,TA,Y,SBrkr,Gd,Typ,NA,Detchd,Unf,TA,TA,Y,WD,Normal
RL,IR1,Lvl,Corner,Gtl,Crawfor,Norm,1Fam,1Story,Hip,Wd Sdng,Plywood,BrkFace,Gd,Gd,CBlock,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,Fin,TA,TA,Y,WD,Normal
RL,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,Attchd,RFn,TA,TA,Y,WD,Normal
RL,Reg,Lvl,Corner,Gtl,NAmes,Norm,Duplex,1Story,Gable,VinylSd,VinylSd,BrkFace,TA,TA,CBlock,TA,TA,No,Unf,Unf,TA,Y,SBrkr,TA,Typ,NA,Detchd,Unf,TA,TA,Y,COD,Abnorml
RM,Reg,Lvl,Inside,Gtl,IDOTRR,Norm,1Fam,1.5Fin,Gable,MetalSd,MetalSd,None,TA,TA,CBlock,TA,TA,No,BLQ,Unf,TA,Y,FuseA,TA,Typ,NA,Detchd,Unf,TA,TA,Y,WD,Normal
RL,IR1,Lvl,Inside,Gtl,StoneBr,Norm,TwnhsE,1Story,Gable,CemntBd,CmentBd,None,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,WD,Normal
RL,IR1,Lvl,Corner,Gtl,Timber,Norm,1Fam,SLvl,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,Fin,TA,TA,Y,WD,Normal
RL,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,ALQ,Unf,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,Fin,TA,TA,Y,WD,Normal
RL,Reg,Lvl,Corner,Gtl,Sawyer,Feedr,1Fam,1Story,Hip,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,BLQ,Unf,Ex,Y,SBrkr,TA,Typ,TA,Attchd,RFn,TA,TA,Y,WD,Normal
RL,IR1,Lvl,Corner,Gtl,Sawyer,Norm,1Fam,1Story,Gable,Plywood,Plywood,None,TA,TA,PConc,TA,TA,No,Unf,Unf,TA,Y,SBrkr,TA,Typ,NA,Attchd,Unf,TA,TA,Y,WD,Family
RM,Reg,Lvl,Inside,Gtl,OldTown,Norm,1Fam,2.5Unf,Gable,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,Gd,TA,Mn,Rec,Unf,Fa,N,SBrkr,TA,Typ,TA,Detchd,Unf,TA,TA,N,WD,Normal
RL,Reg,Lvl,Inside,Gtl,NAmes,Norm,Duplex,1Story,Gable,Stucco,Stone,None,TA,TA,CBlock,NA,NA,NA,NA,NA,Gd,N,FuseF,TA,Typ,NA,Detchd,Unf,TA,TA,Y,WD,Normal
RL,IR1,HLS,CulDSac,Gtl,Gilbert,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,Fin,TA,TA,Y,WD,Normal
RL,Reg,Lvl,Inside,Gtl,Edwards,Norm,Duplex,1Story,Gable,Plywood,Plywood,None,TA,TA,CBlock,Gd,Gd,Gd,GLQ,Unf,TA,Y,SBrkr,TA,Typ,NA,NA,NA,NA,NA,Y,WD,Alloca
RL,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,NA,Attchd,RFn,TA,TA,Y,WD,Normal
RM,Reg,Lvl,Inside,Gtl,OldTown,Norm,1Fam,2Story,Gable,Wd Sdng,Wd Shng,None,TA,Gd,BrkTil,Fa,Fa,No,Unf,Unf,Ex,Y,SBrkr,TA,Typ,NA,Detchd,Unf,TA,Gd,Y,WD,Abnorml
RL,IR1,Lvl,Inside,Gtl,Sawyer,Feedr,1Fam,1Story,Hip,HdBoard,HdBoard,None,TA,Gd,CBlock,TA,TA,Mn,GLQ,Unf,Gd,Y,SBrkr,Gd,Typ,NA,Detchd,Unf,TA,TA,Y,WD,Normal
RL,Reg,Lvl,Inside,Gtl,SawyerW,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,BrkFace,TA,TA,PConc,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,TA,Typ,NA,Attchd,Unf,TA,TA,Y,WD,Normal
RL,IR1,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,SLvl,Gable,HdBoard,HdBoard,None,TA,TA,CBlock,Gd,TA,Av,ALQ,Unf,Ex,Y,SBrkr,TA,Min2,TA,Attchd,RFn,TA,TA,Y,WD,Normal
RL,IR1,HLS,Inside,Gtl,StoneBr,Norm,TwnhsE,1Story,Gable,HdBoard,HdBoard,None,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,Gd,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,WD,Normal
RL,IR1,Lvl,Inside,Gtl,NWAmes,Norm,1Fam,2Story,Hip,VinylSd,VinylSd,BrkFace,Ex,Gd,CBlock,TA,Gd,No,GLQ,ALQ,Ex,Y,SBrkr,Gd,Typ,TA,BuiltIn,Fin,TA,TA,Y,WD,Normal
RL,IR1,Lvl,Inside,Gtl,Gilbert,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,TA,BuiltIn,Fin,TA,TA,Y,WD,Normal
RM,IR1,Lvl,Corner,Gtl,OldTown,Norm,1Fam,2Story,Mansard,Stucco,Stucco,None,Gd,TA,Stone,TA,Fa,No,Unf,Unf,TA,N,SBrkr,Gd,Typ,Gd,Detchd,Unf,TA,TA,N,WD,Normal
RL,IR1,Lvl,Inside,Gtl,NoRidge,Norm,1Fam,1Story,Hip,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,Fin,TA,TA,Y,WD,Normal
RL,Reg,Lvl,Inside,Gtl,Edwards,Norm,1Fam,1.5Fin,Gable,WdShing,Wd Shng,None,TA,TA,Slab,NA,NA,NA,NA,NA,TA,N,FuseF,TA,Mod,NA,Detchd,Unf,TA,TA,N,WD,Normal
RM,Reg,Lvl,Corner,Gtl,OldTown,Norm,1Fam,1.5Fin,Gable,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,TA,Fa,No,Unf,Unf,Gd,Y,SBrkr,TA,Min2,NA,NA,NA,NA,NA,N,WD,Normal
RL,Reg,Lvl,Inside,Gtl,Gilbert,RRAn,1Fam,2Story,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,NA,Attchd,Fin,TA,TA,Y,WD,Normal
RL,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,None,TA,Gd,PConc,Gd,TA,Gd,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,Attchd,RFn,TA,TA,Y,WD,Normal
RL,Reg,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Mn,Unf,Unf,Gd,Y,SBrkr,Ex,Typ,Gd,Attchd,RFn,TA,TA,Y,WD,Normal
RL,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,Gable,Plywood,Plywood,None,TA,TA,CBlock,TA,TA,No,GLQ,LwQ,Gd,Y,SBrkr,Gd,Typ,NA,Detchd,RFn,TA,TA,Y,WD,Normal
FV,Reg,Lvl,Inside,Gtl,Somerst,Norm,TwnhsE,2Story,Gable,MetalSd,MetalSd,BrkFace,TA,TA,PConc,Gd,TA,No,GLQ,Unf,Gd,Y,SBrkr,TA,Typ,NA,Detchd,Unf,TA,TA,Y,WD,Normal
RL,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,Attchd,RFn,TA,TA,Y,WD,Normal
RL,IR1,Lvl,CulDSac,Gtl,Sawyer,Norm,1Fam,2Story,Hip,HdBoard,HdBoard,BrkCmn,TA,TA,CBlock,TA,TA,Mn,Rec,Unf,TA,Y,SBrkr,TA,Typ,TA,Attchd,Fin,TA,TA,Y,WD,Abnorml
FV,Reg,Lvl,Inside,Gtl,Somerst,Norm,Twnhs,2Story,Gable,MetalSd,MetalSd,BrkFace,TA,TA,PConc,Gd,TA,No,ALQ,Unf,Gd,Y,SBrkr,TA,Typ,NA,Detchd,Unf,TA,TA,Y,WD,Normal
RL,IR1,Lvl,Inside,Gtl,NoRidge,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,LwQ,ALQ,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,WD,Normal
RL,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,Hip,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,Rec,Unf,Ex,Y,SBrkr,TA,Typ,NA,Detchd,Unf,Ex,Ex,Y,WD,Normal
RM,Reg,Lvl,FR2,Gtl,BrkSide,Feedr,1Fam,1Story,Gable,Wd Sdng,Wd Sdng,None,TA,TA,PConc,TA,TA,Mn,LwQ,Unf,TA,Y,SBrkr,Fa,Min1,NA,Detchd,Unf,TA,TA,Y,WD,Normal
FV,Reg,Lvl,Inside,Gtl,Somerst,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,Mn,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,Attchd,Unf,TA,TA,Y,Con,Normal
RL,Reg,Lvl,Inside,Gtl,NoRidge,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,WD,Normal
RL,IR1,Lvl,CulDSac,Gtl,Veenker,Norm,TwnhsE,1Story,Hip,BrkFace,BrkFace,None,Gd,Gd,PConc,Gd,Gd,Av,LwQ,GLQ,Ex,Y,SBrkr,Ex,Typ,Gd,Attchd,Fin,TA,TA,Y,WD,Normal
RL,IR1,Lvl,Inside,Gtl,Somerst,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,Ex,Typ,Gd,Attchd,Fin,TA,TA,Y,New,Partial
RL,Reg,Lvl,Inside,Gtl,NWAmes,Norm,1Fam,2Story,Gable,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,Gd,TA,No,GLQ,Unf,TA,Y,SBrkr,TA,Typ,TA,Attchd,Unf,TA,TA,Y,WD,Normal
RL,IR1,Lvl,Inside,Gtl,Mitchel,Norm,1Fam,1.5Fin,Gable,VinylSd,VinylSd,None,TA,TA,CBlock,Gd,TA,Mn,ALQ,Unf,Ex,Y,SBrkr,TA,Mod,NA,Attchd,Unf,TA,TA,Y,WD,Normal
RL,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,Hip,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,Fin,TA,TA,Y,WD,Normal
RL,IR2,HLS,CulDSac,Mod,StoneBr,Norm,1Fam,2Story,Hip,CemntBd,Wd Shng,BrkFace,Ex,TA,PConc,Gd,TA,Gd,ALQ,Unf,Ex,Y,SBrkr,Ex,Mod,Gd,BuiltIn,Fin,TA,TA,Y,WD,Normal
RL,IR1,Lvl,CulDSac,Gtl,Sawyer,Norm,1Fam,SFoyer,Hip,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,Gd,TA,Av,GLQ,Unf,TA,Y,SBrkr,TA,Typ,NA,Detchd,Unf,TA,TA,Y,WD,Normal
RL,Reg,Lvl,Inside,Gtl,Edwards,Norm,1Fam,1Story,Gable,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,Fa,Fa,No,LwQ,Unf,TA,Y,FuseF,TA,Typ,NA,Detchd,Unf,TA,TA,Y,COD,Normal
RL,Reg,Lvl,Inside,Gtl,Edwards,Norm,1Fam,SLvl,Gable,Plywood,Plywood,None,TA,TA,CBlock,TA,TA,Av,ALQ,BLQ,TA,Y,SBrkr,TA,Typ,TA,Detchd,Unf,TA,TA,Y,WD,Abnorml
RL,Reg,Lvl,Inside,Gtl,NAmes,Feedr,1Fam,1Story,Gable,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,Rec,Unf,Ex,Y,FuseA,TA,Typ,NA,Attchd,RFn,TA,TA,Y,COD,Normal
RL,Reg,Lvl,Corner,Gtl,NridgHt,Norm,1Fam,1Story,Hip,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,Gd,Y,SBrkr,Gd,Typ,Gd,Attchd,Fin,TA,TA,Y,New,Partial
RM,Reg,Lvl,FR2,Gtl,Mitchel,Norm,TwnhsE,1Story,Hip,VinylSd,VinylSd,BrkFace,TA,TA,PConc,Ex,TA,No,GLQ,Unf,Ex,Y,SBrkr,TA,Typ,NA,Attchd,Fin,TA,TA,Y,WD,Normal
RL,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,Attchd,RFn,TA,TA,Y,New,Partial
RL,IR1,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,Hip,HdBoard,Plywood,None,TA,TA,CBlock,TA,TA,No,ALQ,Unf,TA,Y,SBrkr,TA,Typ,Fa,Attchd,Unf,TA,TA,Y,WD,Normal
RH,Reg,Lvl,Inside,Gtl,SawyerW,Feedr,Duplex,1Story,Gable,Plywood,Plywood,BrkFace,TA,TA,Slab,NA,NA,NA,NA,NA,TA,Y,SBrkr,TA,Typ,TA,Detchd,Unf,TA,TA,Y,WD,Normal
RL,Reg,Lvl,Inside,Gtl,Mitchel,Norm,Duplex,SFoyer,Gable,Plywood,ImStucc,BrkFace,TA,TA,CBlock,Gd,TA,Gd,GLQ,Unf,TA,Y,SBrkr,TA,Typ,NA,Attchd,Unf,TA,TA,Y,WD,Normal
RL,Reg,Lvl,Inside,Gtl,Gilbert,Norm,1Fam,1Story,Gable,HdBoard,HdBoard,BrkFace,TA,TA,PConc,Gd,Gd,No,Unf,Unf,Gd,Y,SBrkr,TA,Typ,TA,Attchd,Fin,TA,TA,Y,WD,Normal
RL,Reg,Lvl,Inside,Gtl,SawyerW,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,None,Gd,Gd,PConc,Gd,TA,No,ALQ,Unf,Ex,Y,SBrkr,Gd,Typ,NA,Attchd,RFn,TA,TA,Y,WD,Normal
RL,IR2,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,Unf,Unf,Ex,Y,SBrkr,Gd,Typ,NA,Attchd,RFn,TA,TA,Y,WD,Normal
RL,IR1,Lvl,Corner,Gtl,Mitchel,Norm,1Fam,SFoyer,Gable,Plywood,Plywood,BrkFace,TA,Gd,PConc,Gd,TA,Av,GLQ,Unf,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,Fin,TA,TA,Y,WD,Normal
RM,Reg,Lvl,Inside,Gtl,OldTown,Norm,1Fam,2.5Unf,Gable,Wd Sdng,Wd Shng,None,TA,TA,CBlock,TA,TA,No,Unf,Unf,Ex,Y,SBrkr,TA,Typ,Gd,NA,NA,NA,NA,Y,WD,Normal
RL,Reg,Lvl,Inside,Gtl,NWAmes,Feedr,1Fam,1Story,Gable,BrkFace,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,Rec,LwQ,TA,Y,SBrkr,TA,Typ,Gd,Attchd,Unf,TA,TA,Y,WD,Normal
